Timestamp[s],Timestamp,PERCLOS
0,20:01:56,0.004232804
1,20:01:57,
2,20:01:58,0.003134796
3,20:01:59,0
4,20:02:00,0
5,20:02:01,0
6,20:02:02,0
8,20:02:04,0
9,20:02:05,0
10,20:02:06,0
11,20:02:07,0
12,20:02:08,0.001046025
13,20:02:09,0.00105042
14,20:02:10,0.001038422
15,20:02:11,0.002068252
16,20:02:12,0.008438819
17,20:02:13,0.025906736
18,20:02:14,0.044025157
19,20:02:15,0
20,20:02:16,0
21,20:02:17,0.005117707
22,20:02:18,0.000987167
23,20:02:19,0.007194245
24,20:02:20,0.001003009
25,20:02:21,0
26,20:02:22,0
27,20:02:23,0.001
28,20:02:24,0.004032258
29,20:02:25,0.002057613
30,20:02:26,0.014507772
31,20:02:27,0.004149378
33,20:02:29,0.003095975
34,20:02:30,0.007383966
35,20:02:31,0.003089598
36,20:02:32,0
37,20:02:33,0.001030928
38,20:02:34,0.003042596
39,20:02:35,0.001046025
40,20:02:36,0
41,20:02:37,0.001031992
42,20:02:38,0.001285347
43,20:02:39,0
44,20:02:40,0.001048218
45,20:02:41,0
46,20:02:42,0.006410256
47,20:02:43,0.023686921
48,20:02:44,0.041841004
49,20:02:45,0.059436913
50,20:02:46,0.002120891
51,20:02:47,0
52,20:02:48,0
53,20:02:49,0
55,20:02:51,0
56,20:02:52,0
57,20:02:53,0.003042596
58,20:02:54,0
59,20:02:55,0
60,20:02:56,0
61,20:02:57,0.00101833
62,20:02:58,0
63,20:02:59,0.001828154
64,20:03:00,0
65,20:03:01,0
66,20:03:02,0
67,20:03:03,0
68,20:03:04,0
69,20:03:05,0
70,20:03:06,0
71,20:03:07,0
72,20:03:08,0
73,20:03:09,0
74,20:03:10,0
75,20:03:11,0
77,20:03:13,0
78,20:03:14,0
79,20:03:15,0
80,20:03:16,0
81,20:03:17,0
83,20:03:19,0
84,20:03:20,0.000691085
85,20:03:21,0.018024513
86,20:03:22,0.001494768
87,20:03:23,0.03125
88,20:03:24,0
89,20:03:25,0
91,20:03:27,0
92,20:03:28,0
93,20:03:29,0.007668712
94,20:03:30,0
95,20:03:31,0
96,20:03:32,0
97,20:03:33,0
98,20:03:34,0.002079002
99,20:03:35,0.00308642
100,20:03:36,0.001049318
101,20:03:37,0
102,20:03:38,0
103,20:03:39,0.001010101
104,20:03:40,0.002081165
105,20:03:41,0.004197272
106,20:03:42,0
107,20:03:43,0.00101833
108,20:03:44,0.001062699
109,20:03:45,0
110,20:03:46,0
111,20:03:47,0
112,20:03:48,0
113,20:03:49,0.002096436
115,20:03:51,0.002028398
116,20:03:52,0.001022495
117,20:03:53,0.001033058
118,20:03:54,0.001052632
119,20:03:55,0.001031992
120,20:03:56,0
121,20:03:57,0.00307377
122,20:03:58,0
123,20:03:59,0
124,20:04:00,0
125,20:04:01,0
126,20:04:02,0.017653167
127,20:04:03,0.00524109
128,20:04:04,0.022988506
129,20:04:05,0.002085506
130,20:04:06,0
131,20:04:07,0
132,20:04:08,0
133,20:04:09,0
135,20:04:11,0.009483667
136,20:04:12,0.012345679
137,20:04:13,0.00286533
138,20:04:14,0
139,20:04:15,0
140,20:04:16,0.001049318
141,20:04:17,0.001055966
142,20:04:18,0.001025641
143,20:04:19,0
144,20:04:20,0
145,20:04:21,0.001031992
146,20:04:22,0
147,20:04:23,0.001030928
148,20:04:24,0.00102145
149,20:04:25,0.008205128
150,20:04:26,0.002105263
151,20:04:27,0.003141361
152,20:04:28,0
153,20:04:29,0
155,20:04:31,0.001037344
156,20:04:32,0.00102145
157,20:04:33,0.001022495
158,20:04:34,0.00102459
159,20:04:35,0.004060914
160,20:04:36,0
161,20:04:37,0
162,20:04:38,0.001031992
163,20:04:39,0
164,20:04:40,0.008080808
165,20:04:41,0.001009082
166,20:04:42,0
167,20:04:43,0.004119464
168,20:04:44,0
169,20:04:45,0.008130081
170,20:04:46,0.007306889
171,20:04:47,0.001037344
172,20:04:48,0
173,20:04:49,0
174,20:04:50,0.008171604
175,20:04:51,0.025458248
176,20:04:52,0.001033058
178,20:04:54,0.002076843
179,20:04:55,0.002057613
180,20:04:56,0.005159959
181,20:04:57,0.001033058
182,20:04:58,0.001029866
183,20:04:59,0
184,20:05:00,0.001019368
185,20:05:01,0.007284079
186,20:05:02,0.012345679
187,20:05:03,0.001041667
188,20:05:04,0
189,20:05:05,0.00814664
190,20:05:06,0.009345794
191,20:05:07,0.025720165
192,20:05:08,0.002068252
193,20:05:09,0.002094241
194,20:05:10,0.001037344
195,20:05:11,0.001040583
196,20:05:12,0.004158004
197,20:05:13,0.001046025
198,20:05:14,0.018691589
200,20:05:16,0.010373444
201,20:05:17,0.001031992
202,20:05:18,0.003092784
203,20:05:19,0.008290155
204,20:05:20,0.002034588
205,20:05:21,0
206,20:05:22,0.009533898
207,20:05:23,0.004179728
208,20:05:24,0.005128205
209,20:05:25,0.024691358
210,20:05:26,0.015321757
211,20:05:27,0.032494759
212,20:05:28,0.050052138
213,20:05:29,0.012257406
214,20:05:30,0.003076923
