Timestamp,PERCLOS,State,,Timestamp,PERCLOS,State
193,0,Awake,,188,0,Awake
194,0,Awake,,189,0,Awake
195,0,Awake,,190,0,Awake
196,0,Awake,,191,0,Awake
197,0,Awake,,192,0,Awake
198,0,Awake,,193,0,Awake
199,0,Awake,,194,0,Awake
200,0,Awake,,195,0,Awake
201,0,Awake,,196,0,Awake
202,0,Awake,,197,0,Awake
203,0,Awake,,198,0,Awake
204,0,Awake,,199,0,Awake
205,0,Awake,,200,0,Awake
206,0,Awake,,201,0,Awake
207,0,Awake,,202,0,Awake
208,0,Awake,,203,0,Awake
209,0,Awake,,204,0,Awake
211,0,Awake,,205,0,Awake
212,0,Awake,,206,0,Awake
213,0,Awake,,207,0,Awake
214,0,Awake,,208,0,Awake
215,0,Awake,,209,0,Awake
216,0,Awake,,210,,
217,0,Awake,,211,0,Awake
218,0,Awake,,212,0,Awake
219,0,Awake,,213,0,Awake
220,0,Awake,,214,0,Awake
221,0,Awake,,215,0,Awake
222,0,Awake,,216,0,Awake
223,0,Awake,,217,0,Awake
224,0,Awake,,218,0,Awake
225,0,Awake,,219,0,Awake
226,0,Awake,,220,0,Awake
227,0,Awake,,221,0,Awake
228,0,Awake,,222,0,Awake
229,0,Awake,,223,0,Awake
230,0,Awake,,224,0,Awake
231,0,Awake,,225,0,Awake
232,0,Awake,,226,0,Awake
233,0,Awake,,227,0,Awake
234,0,Awake,,228,0,Awake
235,0,Awake,,229,0,Awake
236,0,Awake,,230,0,Awake
237,0,Awake,,231,0,Awake
238,0,Awake,,232,0,Awake
239,0,Awake,,233,0,Awake
240,0,Awake,,234,0,Awake
241,0,Awake,,235,0,Awake
242,0,Awake,,236,0,Awake
243,0,Awake,,237,0,Awake
244,0,Awake,,238,0,Awake
246,0,Awake,,239,0,Awake
247,0,Awake,,240,0,Awake
248,0,Awake,,241,0,Awake
249,0,Awake,,242,0,Awake
250,0,Awake,,243,0,Awake
251,0,Awake,,244,0,Awake
252,0,Awake,,245,,
253,0,Awake,,246,0,Awake
254,0,Awake,,247,0,Awake
255,0,Awake,,248,0,Awake
256,0,Awake,,249,0,Awake
257,0,Awake,,250,0,Awake
258,0,Awake,,251,0,Awake
259,0,Awake,,252,0,Awake
260,0,Awake,,253,0,Awake
261,0,Awake,,254,0,Awake
262,0,Awake,,255,0,Awake
263,0,Awake,,256,0,Awake
264,0,Awake,,257,0,Awake
265,0,Awake,,258,0,Awake
266,0,Awake,,259,0,Awake
267,0,Awake,,260,0,Awake
268,0,Awake,,261,0,Awake
269,0,Awake,,262,0,Awake
270,0.001,Awake,,263,0,Awake
271,0,Awake,,264,0,Awake
272,0,Awake,,265,0,Awake
273,0,Awake,,266,0,Awake
274,0,Awake,,267,0,Awake
275,0,Awake,,268,0,Awake
276,0,Awake,,269,0,Awake
277,0,Awake,,270,0.001,Awake
278,0,Awake,,271,0,Awake
279,0,Awake,,272,0,Awake
280,0,Awake,,273,0,Awake
281,0,Awake,,274,0,Awake
282,0,Awake,,275,0,Awake
284,0,Awake,,276,0,Awake
285,0,Awake,,277,0,Awake
286,0,Awake,,278,0,Awake
287,0,Awake,,279,0,Awake
288,0,Awake,,280,0,Awake
289,0,Awake,,281,0,Awake
290,0,Awake,,282,0,Awake
291,0,Awake,,283,,
292,0,Awake,,284,0,Awake
293,0,Awake,,285,0,Awake
294,0,Awake,,286,0,Awake
295,0,Awake,,287,0,Awake
296,0,Awake,,288,0,Awake
297,0,Awake,,289,0,Awake
298,0,Awake,,290,0,Awake
299,0,Awake,,291,0,Awake
300,0,Awake,,292,0,Awake
301,0,Awake,,293,0,Awake
302,0,Awake,,294,0,Awake
303,0.001,Awake,,295,0,Awake
304,0,Awake,,296,0,Awake
305,0,Awake,,297,0,Awake
306,0,Awake,,298,0,Awake
307,0,Awake,,299,0,Awake
308,0,Awake,,300,0,Awake
309,0,Awake,,301,0,Awake
310,0,Awake,,302,0,Awake
311,0,Awake,,303,0.001,Awake
312,0,Awake,,304,0,Awake
314,0,Awake,,305,0,Awake
315,0,Awake,,306,0,Awake
316,0,Awake,,307,0,Awake
317,0,Awake,,308,0,Awake
318,0,Awake,,309,0,Awake
319,0,Awake,,310,0,Awake
320,0,Awake,,311,0,Awake
321,0,Awake,,312,0,Awake
322,0,Awake,,313,,
323,0,Awake,,314,0,Awake
324,0,Awake,,315,0,Awake
325,0,Awake,,316,0,Awake
326,0,Awake,,317,0,Awake
327,0,Awake,,318,0,Awake
328,0,Awake,,319,0,Awake
329,0,Awake,,320,0,Awake
330,0,Awake,,321,0,Awake
331,0,Awake,,322,0,Awake
332,0,Awake,,323,0,Awake
333,0,Awake,,324,0,Awake
334,0,Awake,,325,0,Awake
335,0,Awake,,326,0,Awake
336,0,Awake,,327,0,Awake
337,0,Awake,,328,0,Awake
338,0,Awake,,329,0,Awake
339,0,Awake,,330,0,Awake
340,0,Awake,,331,0,Awake
341,0,Awake,,332,0,Awake
343,0,Awake,,333,0,Awake
344,0,Awake,,334,0,Awake
345,0,Awake,,335,0,Awake
346,0,Awake,,336,0,Awake
347,0,Awake,,337,0,Awake
348,0,Awake,,338,0,Awake
349,0,Awake,,339,0,Awake
350,0,Awake,,340,0,Awake
351,0,Awake,,341,0,Awake
352,0,Awake,,342,,
353,0,Awake,,343,0,Awake
354,0,Awake,,344,0,Awake
355,0,Awake,,345,0,Awake
356,0,Awake,,346,0,Awake
357,0,Awake,,347,0,Awake
358,0,Awake,,348,0,Awake
359,0,Awake,,349,0,Awake
360,0,Awake,,350,0,Awake
361,0.001,Awake,,351,0,Awake
362,0,Awake,,352,0,Awake
363,0,Awake,,353,0,Awake
364,0,Awake,,354,0,Awake
365,0,Awake,,355,0,Awake
366,0,Awake,,356,0,Awake
367,0,Awake,,357,0,Awake
368,0,Awake,,358,0,Awake
369,0,Awake,,359,0,Awake
370,0,Awake,,360,0,Awake
371,0,Awake,,361,0.001,Awake
372,0,Awake,,362,0,Awake
373,0,Awake,,363,0,Awake
374,0,Awake,,364,0,Awake
375,0,Awake,,365,0,Awake
377,0,Awake,,366,0,Awake
378,0,Awake,,367,0,Awake
379,0,Awake,,368,0,Awake
380,0,Awake,,369,0,Awake
381,0,Awake,,370,0,Awake
382,0,Awake,,371,0,Awake
383,0,Awake,,372,0,Awake
384,0,Awake,,373,0,Awake
385,0,Awake,,374,0,Awake
386,0,Awake,,375,0,Awake
387,0,Awake,,376,,
388,0,Awake,,377,0,Awake
389,0,Awake,,378,0,Awake
390,0,Awake,,379,0,Awake
391,0,Awake,,380,0,Awake
392,0,Awake,,381,0,Awake
393,0,Awake,,382,0,Awake
394,0,Awake,,383,0,Awake
395,0,Awake,,384,0,Awake
396,0,Awake,,385,0,Awake
397,0,Awake,,386,0,Awake
398,0,Awake,,387,0,Awake
399,0,Awake,,388,0,Awake
400,0,Awake,,389,0,Awake
401,0,Awake,,390,0,Awake
402,0,Awake,,391,0,Awake
403,0,Awake,,392,0,Awake
404,0,Awake,,393,0,Awake
405,0,Awake,,394,0,Awake
406,0,Awake,,395,0,Awake
407,0,Awake,,396,0,Awake
408,0,Awake,,397,0,Awake
409,0,Awake,,398,0,Awake
410,0,Awake,,399,0,Awake
411,0,Awake,,400,0,Awake
412,0,Awake,,401,0,Awake
413,0,Awake,,402,0,Awake
414,0,Awake,,403,0,Awake
416,0,Awake,,404,0,Awake
417,0,Awake,,405,0,Awake
418,0,Awake,,406,0,Awake
419,0,Awake,,407,0,Awake
420,0,Awake,,408,0,Awake
421,0,Awake,,409,0,Awake
422,0,Awake,,410,0,Awake
423,0,Awake,,411,0,Awake
424,0,Awake,,412,0,Awake
425,0,Awake,,413,0,Awake
426,0,Awake,,414,0,Awake
427,0,Awake,,415,,
428,0,Awake,,416,0,Awake
429,0,Awake,,417,0,Awake
430,0,Awake,,418,0,Awake
431,0,Awake,,419,0,Awake
432,0,Awake,,420,0,Awake
433,0,Awake,,421,0,Awake
434,0,Awake,,422,0,Awake
435,0,Awake,,423,0,Awake
436,0,Awake,,424,0,Awake
437,0,Awake,,425,0,Awake
438,0,Awake,,426,0,Awake
439,0,Awake,,427,0,Awake
440,0,Awake,,428,0,Awake
441,0,Awake,,429,0,Awake
442,0,Awake,,430,0,Awake
443,0,Awake,,431,0,Awake
444,0,Awake,,432,0,Awake
445,0,Awake,,433,0,Awake
446,0,Awake,,434,0,Awake
447,0,Awake,,435,0,Awake
448,0,Awake,,436,0,Awake
449,0,Awake,,437,0,Awake
450,0,Awake,,438,0,Awake
451,0,Awake,,439,0,Awake
452,0,Awake,,440,0,Awake
453,0,Awake,,441,0,Awake
455,0,Awake,,442,0,Awake
456,0,Awake,,443,0,Awake
457,0,Awake,,444,0,Awake
458,0,Awake,,445,0,Awake
459,0,Awake,,446,0,Awake
460,0,Awake,,447,0,Awake
461,0,Awake,,448,0,Awake
462,0,Awake,,449,0,Awake
463,0,Awake,,450,0,Awake
464,0,Awake,,451,0,Awake
465,0,Awake,,452,0,Awake
466,0,Awake,,453,0,Awake
467,0,Awake,,454,,
468,0,Awake,,455,0,Awake
469,0,Awake,,456,0,Awake
470,0,Awake,,457,0,Awake
471,0,Awake,,458,0,Awake
472,0,Awake,,459,0,Awake
473,0,Awake,,460,0,Awake
474,0,Awake,,461,0,Awake
475,0,Awake,,462,0,Awake
476,0,Awake,,463,0,Awake
477,0.001,Awake,,464,0,Awake
478,0,Awake,,465,0,Awake
479,0,Awake,,466,0,Awake
480,0,Awake,,467,0,Awake
481,0,Awake,,468,0,Awake
482,0,Awake,,469,0,Awake
483,0,Awake,,470,0,Awake
485,0,Awake,,471,0,Awake
486,0,Awake,,472,0,Awake
487,0,Awake,,473,0,Awake
488,0,Awake,,474,0,Awake
489,0,Awake,,475,0,Awake
490,0,Awake,,476,0,Awake
491,0,Awake,,477,0.001,Awake
492,0,Awake,,478,0,Awake
493,0,Awake,,479,0,Awake
494,0.001,Awake,,480,0,Awake
495,0,Awake,,481,0,Awake
496,0,Awake,,482,0,Awake
497,0,Awake,,483,0,Awake
498,0,Awake,,484,,
499,0,Awake,,485,0,Awake
500,0,Awake,,486,0,Awake
501,0,Awake,,487,0,Awake
502,0,Awake,,488,0,Awake
503,0,Awake,,489,0,Awake
504,0,Awake,,490,0,Awake
505,0,Awake,,491,0,Awake
506,0,Awake,,492,0,Awake
507,0,Awake,,493,0,Awake
508,0,Awake,,494,0.001,Awake
509,0,Awake,,495,0,Awake
510,0,Awake,,496,0,Awake
511,0,Awake,,497,0,Awake
512,0,Awake,,498,0,Awake
513,0,Awake,,499,0,Awake
514,0,Awake,,500,0,Awake
515,0,Awake,,501,0,Awake
516,0,Awake,,502,0,Awake
518,0,Awake,,503,0,Awake
519,0,Awake,,504,0,Awake
520,0,Awake,,505,0,Awake
521,0,Awake,,506,0,Awake
522,0,Awake,,507,0,Awake
523,0,Awake,,508,0,Awake
524,0,Awake,,509,0,Awake
525,0,Awake,,510,0,Awake
526,0,Awake,,511,0,Awake
527,0,Awake,,512,0,Awake
528,0,Awake,,513,0,Awake
529,0,Awake,,514,0,Awake
530,0,Awake,,515,0,Awake
531,0,Awake,,516,0,Awake
532,0,Awake,,517,,
533,0,Awake,,518,0,Awake
534,0,Awake,,519,0,Awake
535,0,Awake,,520,0,Awake
536,0,Awake,,521,0,Awake
537,0,Awake,,522,0,Awake
538,0,Awake,,523,0,Awake
539,0,Awake,,524,0,Awake
540,0,Awake,,525,0,Awake
541,0,Awake,,526,0,Awake
542,0,Awake,,527,0,Awake
543,0,Awake,,528,0,Awake
544,0,Awake,,529,0,Awake
545,0,Awake,,530,0,Awake
546,0,Awake,,531,0,Awake
548,0,Awake,,532,0,Awake
549,0,Awake,,533,0,Awake
550,0,Awake,,534,0,Awake
551,0,Awake,,535,0,Awake
552,0,Awake,,536,0,Awake
553,0,Awake,,537,0,Awake
554,0,Awake,,538,0,Awake
555,0,Awake,,539,0,Awake
556,0,Awake,,540,0,Awake
557,0,Awake,,541,0,Awake
558,0,Awake,,542,0,Awake
559,0,Awake,,543,0,Awake
560,0,Awake,,544,0,Awake
561,0,Awake,,545,0,Awake
562,0,Awake,,546,0,Awake
563,0,Awake,,547,,
564,0,Awake,,548,0,Awake
565,0.001,Awake,,549,0,Awake
566,0,Awake,,550,0,Awake
567,0,Awake,,551,0,Awake
568,0,Awake,,552,0,Awake
569,0,Awake,,553,0,Awake
570,0,Awake,,554,0,Awake
571,0,Awake,,555,0,Awake
572,0,Awake,,556,0,Awake
573,0,Awake,,557,0,Awake
574,0,Awake,,558,0,Awake
575,0,Awake,,559,0,Awake
576,0,Awake,,560,0,Awake
577,0,Awake,,561,0,Awake
578,0,Awake,,562,0,Awake
579,0,Awake,,563,0,Awake
580,0,Awake,,564,0,Awake
582,0,Awake,,565,0.001,Awake
583,0,Awake,,566,0,Awake
584,0,Awake,,567,0,Awake
585,0,Awake,,568,0,Awake
586,0,Awake,,569,0,Awake
587,0,Awake,,570,0,Awake
588,0,Awake,,571,0,Awake
589,0,Awake,,572,0,Awake
590,0,Awake,,573,0,Awake
591,0,Awake,,574,0,Awake
592,0,Awake,,575,0,Awake
593,0,Awake,,576,0,Awake
594,0,Awake,,577,0,Awake
595,0,Awake,,578,0,Awake
596,0,Awake,,579,0,Awake
597,0,Awake,,580,0,Awake
598,0,Awake,,581,,
599,0,Awake,,582,0,Awake
600,0,Awake,,583,0,Awake
601,0,Awake,,584,0,Awake
602,0,Awake,,585,0,Awake
603,0,Awake,,586,0,Awake
604,0,Awake,,587,0,Awake
605,0,Awake,,588,0,Awake
606,0,Awake,,589,0,Awake
607,0,Awake,,590,0,Awake
608,0,Awake,,591,0,Awake
609,0,Awake,,592,0,Awake
610,0,Awake,,593,0,Awake
611,0,Awake,,594,0,Awake
612,0,Awake,,595,0,Awake
613,0,Awake,,596,0,Awake
614,0,Awake,,597,0,Awake
615,0,Awake,,598,0,Awake
616,0,Awake,,599,0,Awake
618,0,Awake,,600,0,Awake
619,0,Awake,,601,0,Awake
620,0,Awake,,602,0,Awake
621,0,Awake,,603,0,Awake
622,0,Awake,,604,0,Awake
623,0,Awake,,605,0,Awake
624,0,Awake,,606,0,Awake
625,0,Awake,,607,0,Awake
626,0,Awake,,608,0,Awake
627,0,Awake,,609,0,Awake
628,0,Awake,,610,0,Awake
629,0,Awake,,611,0,Awake
630,0,Awake,,612,0,Awake
631,0,Awake,,613,0,Awake
632,0,Awake,,614,0,Awake
633,0,Awake,,615,0,Awake
634,0,Awake,,616,0,Awake
635,0,Awake,,617,,
636,0,Awake,,618,0,Awake
637,0,Awake,,619,0,Awake
638,0,Awake,,620,0,Awake
639,0,Awake,,621,0,Awake
640,0,Awake,,622,0,Awake
641,0,Awake,,623,0,Awake
642,0,Awake,,624,0,Awake
643,0,Awake,,625,0,Awake
644,0,Awake,,626,0,Awake
645,0,Awake,,627,0,Awake
646,0,Awake,,628,0,Awake
647,0,Awake,,629,0,Awake
648,0,Awake,,630,0,Awake
649,0,Awake,,631,0,Awake
650,0,Awake,,632,0,Awake
651,0,Awake,,633,0,Awake
653,0,Awake,,634,0,Awake
654,0,Awake,,635,0,Awake
655,0,Awake,,636,0,Awake
656,0,Awake,,637,0,Awake
657,0,Awake,,638,0,Awake
658,0,Awake,,639,0,Awake
659,0,Awake,,640,0,Awake
660,0,Awake,,641,0,Awake
661,0,Awake,,642,0,Awake
662,0,Awake,,643,0,Awake
663,0,Awake,,644,0,Awake
664,0,Awake,,645,0,Awake
665,0,Awake,,646,0,Awake
666,0,Awake,,647,0,Awake
667,0,Awake,,648,0,Awake
668,0,Awake,,649,0,Awake
669,0,Awake,,650,0,Awake
670,0,Awake,,651,0,Awake
671,0,Awake,,652,,
672,0,Awake,,653,0,Awake
673,0,Awake,,654,0,Awake
674,0,Awake,,655,0,Awake
675,0,Awake,,656,0,Awake
676,0,Awake,,657,0,Awake
677,0,Awake,,658,0,Awake
678,0,Awake,,659,0,Awake
679,0,Awake,,660,0,Awake
680,0,Awake,,661,0,Awake
681,0,Awake,,662,0,Awake
682,0,Awake,,663,0,Awake
683,0,Awake,,664,0,Awake
684,0,Awake,,665,0,Awake
685,0,Awake,,666,0,Awake
686,0,Awake,,667,0,Awake
688,0,Awake,,668,0,Awake
689,0.001,Awake,,669,0,Awake
690,0,Awake,,670,0,Awake
691,0,Awake,,671,0,Awake
692,0,Awake,,672,0,Awake
693,0,Awake,,673,0,Awake
694,0.001,Awake,,674,0,Awake
695,0,Awake,,675,0,Awake
696,0,Awake,,676,0,Awake
697,0,Awake,,677,0,Awake
698,0,Awake,,678,0,Awake
699,0,Awake,,679,0,Awake
700,0,Awake,,680,0,Awake
701,0,Awake,,681,0,Awake
702,0,Awake,,682,0,Awake
703,0,Awake,,683,0,Awake
704,0,Awake,,684,0,Awake
705,0,Awake,,685,0,Awake
706,0,Awake,,686,0,Awake
707,0,Awake,,687,,
708,0,Awake,,688,0,Awake
709,0,Awake,,689,0.001,Awake
710,0,Awake,,690,0,Awake
711,0,Awake,,691,0,Awake
712,0,Awake,,692,0,Awake
713,0,Awake,,693,0,Awake
714,0,Awake,,694,0.001,Awake
715,0,Awake,,695,0,Awake
716,0,Awake,,696,0,Awake
717,0,Awake,,697,0,Awake
718,0,Awake,,698,0,Awake
719,0,Awake,,699,0,Awake
720,0,Awake,,700,0,Awake
721,0,Awake,,701,0,Awake
723,0.001,Awake,,702,0,Awake
724,0,Awake,,703,0,Awake
725,0,Awake,,704,0,Awake
726,0,Awake,,705,0,Awake
727,0,Awake,,706,0,Awake
728,0,Awake,,707,0,Awake
729,0,Awake,,708,0,Awake
730,0,Awake,,709,0,Awake
731,0,Awake,,710,0,Awake
732,0,Awake,,711,0,Awake
733,0,Awake,,712,0,Awake
734,0,Awake,,713,0,Awake
735,0,Awake,,714,0,Awake
736,0,Awake,,715,0,Awake
737,0,Awake,,716,0,Awake
738,0,Awake,,717,0,Awake
739,0.001,Awake,,718,0,Awake
740,0,Awake,,719,0,Awake
741,0,Awake,,720,0,Awake
742,0,Awake,,721,0,Awake
743,0,Awake,,722,,
744,0,Awake,,723,0.001,Awake
745,0,Awake,,724,0,Awake
746,0,Awake,,725,0,Awake
747,0,Awake,,726,0,Awake
748,0.001,Awake,,727,0,Awake
749,0,Awake,,728,0,Awake
750,0,Awake,,729,0,Awake
751,0,Awake,,730,0,Awake
752,0,Awake,,731,0,Awake
753,0,Awake,,732,0,Awake
754,0,Awake,,733,0,Awake
756,0,Awake,,734,0,Awake
757,0,Awake,,735,0,Awake
758,0,Awake,,736,0,Awake
759,0,Awake,,737,0,Awake
760,0,Awake,,738,0,Awake
761,0,Awake,,739,0.001,Awake
762,0,Awake,,740,0,Awake
763,0,Awake,,741,0,Awake
764,0,Awake,,742,0,Awake
765,0,Awake,,743,0,Awake
766,0,Awake,,744,0,Awake
767,0,Awake,,745,0,Awake
768,0,Awake,,746,0,Awake
769,0,Awake,,747,0,Awake
770,0,Awake,,748,0.001,Awake
771,0,Awake,,749,0,Awake
772,0,Awake,,750,0,Awake
773,0,Awake,,751,0,Awake
774,0,Awake,,752,0,Awake
775,0.001,Awake,,753,0,Awake
776,0,Awake,,754,0,Awake
777,0,Awake,,755,,
778,0,Awake,,756,0,Awake
779,0,Awake,,757,0,Awake
780,0,Awake,,758,0,Awake
781,0.001,Awake,,759,0,Awake
782,0.001,Awake,,760,0,Awake
784,0,Awake,,761,0,Awake
785,0,Awake,,762,0,Awake
786,0,Awake,,763,0,Awake
787,0,Awake,,764,0,Awake
788,0,Awake,,765,0,Awake
789,0,Awake,,766,0,Awake
790,0,Awake,,767,0,Awake
791,0,Awake,,768,0,Awake
792,0,Awake,,769,0,Awake
793,0,Awake,,770,0,Awake
794,0,Awake,,771,0,Awake
795,0,Awake,,772,0,Awake
796,0,Awake,,773,0,Awake
797,0,Awake,,774,0,Awake
798,0,Awake,,775,0.001,Awake
799,0,Awake,,776,0,Awake
800,0,Awake,,777,0,Awake
801,0,Awake,,778,0,Awake
802,0,Awake,,779,0,Awake
803,0,Awake,,780,0,Awake
804,0,Awake,,781,0.001,Awake
805,0,Awake,,782,0.001,Awake
806,0,Awake,,783,,
807,0,Awake,,784,0,Awake
808,0,Awake,,785,0,Awake
809,0,Awake,,786,0,Awake
810,0,Awake,,787,0,Awake
811,0,Awake,,788,0,Awake
812,0,Awake,,789,0,Awake
813,0,Awake,,790,0,Awake
814,0,Awake,,791,0,Awake
815,0,Awake,,792,0,Awake
816,0,Awake,,793,0,Awake
817,0,Awake,,794,0,Awake
819,0,Awake,,795,0,Awake
820,0,Awake,,796,0,Awake
821,0,Awake,,797,0,Awake
822,0,Awake,,798,0,Awake
823,0,Awake,,799,0,Awake
824,0,Awake,,800,0,Awake
825,0,Awake,,801,0,Awake
826,0,Awake,,802,0,Awake
827,0,Awake,,803,0,Awake
828,0,Awake,,804,0,Awake
829,0.001,Awake,,805,0,Awake
830,0,Awake,,806,0,Awake
831,0,Awake,,807,0,Awake
832,0,Awake,,808,0,Awake
833,0,Awake,,809,0,Awake
834,0,Awake,,810,0,Awake
835,0,Awake,,811,0,Awake
836,0,Awake,,812,0,Awake
837,0,Awake,,813,0,Awake
838,0,Awake,,814,0,Awake
839,0,Awake,,815,0,Awake
840,0,Awake,,816,0,Awake
841,0,Awake,,817,0,Awake
842,0,Awake,,818,,
843,0,Awake,,819,0,Awake
844,0,Awake,,820,0,Awake
